amenities_id,amenities_description,amenities_score
134,"['Internet', 'Kitchen', 'Washer']",15
135,"['Kitchen', 'Shampoo', 'Washer']",14
136,"['Kitchen', 'TV', 'Washer']",13
137,"['Internet', 'Kitchen', 'Shampoo']",13
138,"['Internet', 'Kitchen', 'TV']",12
139,"['Kitchen', 'Shampoo', 'TV']",11
140,"['Dryer', 'Essentials', 'Smoke Detector']",18
141,"['Essentials', 'Smoke Detector', 'Washer']",17
142,"['Essentials', 'Internet', 'Smoke Detector']",16
143,"['Essentials', 'Shampoo', 'Smoke Detector']",15
144,"['Essentials', 'Smoke Detector', 'TV']",14
145,"['Dryer', 'Smoke Detector', 'Washer']",16
146,"['Dryer', 'Internet', 'Smoke Detector']",15
147,"['Dryer', 'Shampoo', 'Smoke Detector']",14
148,"['Dryer', 'Smoke Detector', 'TV']",13
149,"['Internet', 'Smoke Detector', 'Washer']",14
150,"['Shampoo', 'Smoke Detector', 'Washer']",13
151,"['Smoke Detector', 'TV', 'Washer']",12
152,"['Internet', 'Shampoo', 'Smoke Detector']",12
153,"['Internet', 'Smoke Detector', 'TV']",11
154,"['Shampoo', 'Smoke Detector', 'TV']",10
155,"['Dryer', 'Essentials', 'Washer']",15
156,"['Dryer', 'Essentials', 'Internet']",14
157,"['Dryer', 'Essentials', 'Shampoo']",13
158,"['Dryer', 'Essentials', 'TV']",12
159,"['Essentials', 'Internet', 'Washer']",13
160,"['Essentials', 'Shampoo', 'Washer']",12
161,"['Essentials', 'TV', 'Washer']",11
162,"['Essentials', 'Internet', 'Shampoo']",11
163,"['Essentials', 'Internet', 'TV']",10
164,"['Essentials', 'Shampoo', 'TV']",9
165,"['Dryer', 'Internet', 'Washer']",12
166,"['Dryer', 'Shampoo', 'Washer']",11
167,"['Dryer', 'TV', 'Washer']",10
168,"['Dryer', 'Internet', 'Shampoo']",10
169,"['Dryer', 'Internet', 'TV']",9
170,"['Dryer', 'Shampoo', 'TV']",8
171,"['Internet', 'Shampoo', 'Washer']",9
172,"['Internet', 'TV', 'Washer']",8
173,"['Shampoo', 'TV', 'Washer']",7
174,"['Internet', 'Shampoo', 'TV']",6
175,"['Heating', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",34
176,"['Essentials', 'Heating', 'Kitchen', 'Wireless Internet']",33
177,"['Dryer', 'Heating', 'Kitchen', 'Wireless Internet']",32
178,"['Heating', 'Kitchen', 'Washer', 'Wireless Internet']",31
179,"['Heating', 'Internet', 'Kitchen', 'Wireless Internet']",30
180,"['Heating', 'Kitchen', 'Shampoo', 'Wireless Internet']",29
181,"['Heating', 'Kitchen', 'TV', 'Wireless Internet']",28
182,"['Essentials', 'Heating', 'Smoke Detector', 'Wireless Internet']",32
183,"['Dryer', 'Heating', 'Smoke Detector', 'Wireless Internet']",31
184,"['Heating', 'Smoke Detector', 'Washer', 'Wireless Internet']",30
185,"['Heating', 'Internet', 'Smoke Detector', 'Wireless Internet']",29
186,"['Heating', 'Shampoo', 'Smoke Detector', 'Wireless Internet']",28
187,"['Heating', 'Smoke Detector', 'TV', 'Wireless Internet']",27
188,"['Dryer', 'Essentials', 'Heating', 'Wireless Internet']",30
189,"['Essentials', 'Heating', 'Washer', 'Wireless Internet']",29
190,"['Essentials', 'Heating', 'Internet', 'Wireless Internet']",28
191,"['Essentials', 'Heating', 'Shampoo', 'Wireless Internet']",27
192,"['Essentials', 'Heating', 'TV', 'Wireless Internet']",26
193,"['Dryer', 'Heating', 'Washer', 'Wireless Internet']",28
194,"['Dryer', 'Heating', 'Internet', 'Wireless Internet']",27
195,"['Dryer', 'Heating', 'Shampoo', 'Wireless Internet']",26
196,"['Dryer', 'Heating', 'TV', 'Wireless Internet']",25
197,"['Heating', 'Internet', 'Washer', 'Wireless Internet']",26
198,"['Heating', 'Shampoo', 'Washer', 'Wireless Internet']",25
199,"['Heating', 'TV', 'Washer', 'Wireless Internet']",24
200,"['Heating', 'Internet', 'Shampoo', 'Wireless Internet']",24
201,"['Heating', 'Internet', 'TV', 'Wireless Internet']",23
202,"['Heating', 'Shampoo', 'TV', 'Wireless Internet']",22
203,"['Essentials', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",31
204,"['Dryer', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",30
205,"['Kitchen', 'Smoke Detector', 'Washer', 'Wireless Internet']",29
206,"['Internet', 'Kitchen', 'Smoke Detector', 'Wireless Internet']",28
